Call sign,Frequency,City of License [1][2],Licensee,Format [3]
KQBA,107.5 FM,Los Alamos,"Hutton Broadcasting, LLC",Country
KQEL,107.9 FM,Alamogordo,Burt Broadcasting,Classic Hits
KQGC,91.1 FM,Belen,"The Association for Community Education, Inc.",Christian Rock
KQLV,90.7 FM,Santa Fe,Educational Media Foundation,Christian Contemporary
KQNM,1090 AM,Milan,Isleta Radio Company,Soft Adult Contemporary
KQRI,105.5 FM,Bosque Farms,Educational Media Foundation,Christian Rock
KQTM,101.7 FM,Rio Rancho,Team Broadcasting,Sports
KQTO,88.1 FM,Hurley,"Radio Bilingue, Inc.",Mexican and Spanish language music and oldies
KRAR,91.9 FM,Espanola,Regents of the University of New Mexico,
KRDD,1320 AM,Roswell,Media Mining Group,
KRKE,1550 AM,Albuquerque,Vanguard Media LLC,80's Hits
KRLU,90.1 FM,Roswell,Educational Media Foundation,Christian Contemporary
KRMK,93.7 FM,Las Vegas,Cochise Media Licenses LLC,
KRMQ-FM,101.5 FM,Clovis,Rooney Moon Broadcasting,Oldies
KROZ-LP,105.9 FM,Hobbs,First Bi-lingual Christian Ministeral Association,
KRRE,91.9 FM,Las Vegas,Regents of the University of New Mexico,
KRRT,90.9 FM,Arroyo Seco,Regents of the University of New Mexico,
KRSN,1490 AM,Los Alamos,Gillian Sutton,
KRST,92.3 FM,Albuquerque,"Radio License Holding CBC, LLC",Country
KRSY,1230 AM,Alamogordo,WP Broadcasting,Talk
KRSY-FM,92.7 FM,La Luz,WP Broadcasting,Country
KRTN,1490 AM,Raton,Enchanted Air,
KRTN-FM,93.9 FM,Raton,Enchanted Air,Variety
KRUC,88.9 FM,Las Cruces,World Radio Network,Spanish Religious
KRUI,1490 AM,Ruidoso Downs,MTD Inc.,
KRUX,91.5 FM,Las Cruces,"Board of Regents, New Mexico State University",College Radio
KRWG,90.7 FM,Las Cruces,Regents of New Mexico State University,Public Radio
KRWN,92.5 FM,Farmington,"Winton Road Broadcasting Co., LLC",Active Rock
KRXG,91.3 FM,Silver City,Regents of New Mexico State University,
KRZE,1280 AM,Farmington,"Majestic Media, Inc.",
KRZY,1450 AM,Albuquerque,"Entravision Holdings, LLC",Spanish Adult Hits
KRZY-FM,105.9 FM,Santa Fe,"Entravision Holdings, LLC",Spanish Pop
KSCQ,92.9 FM,Silver City,Skywest Media,
KSEL,1450 AM,Portales,Rooney Moon Broadcasting,
KSEL-FM,105.9 FM,Portales,Rooney Moon Broadcasting,Country
KSFR,101.1 FM,White Rock,Santa Fe Community College,Public Radio
KSFX,100.5 FM,Roswell,"Majestic Broadcasting, LLC",Classic Hits
KSHI,90.9 FM,Zuni,Zuni Communications Authority,Variety
KSIL,105.5 FM,Hurley,James S. Bumpous d.b.a. Yellow Dog Radio,Adult Album Alternative
KSJE,90.9 FM,Farmington,San Juan College,Classical
KSMX-FM,107.5 FM,Clovis,Rooney Moon Broadcasting,Top 40
KSNM,98.7 FM,Truth Or Consequences,"Adams Radio of Las Cruces, LLC",Classic Hits
KSRL-LP,103.1 FM,Santa Rosa,St. Rose of Lima Education Association,
KSSR-FM,95.9 FM,Santa Rosa,Esquibel LLC,
KSVA,920 AM,Albuquerque,"Lifetalk Radio, Inc.",Christian Talk
KSVP,990 AM,Artesia,Pecos Valley Broadcasting,
KSWV,810 AM,Santa Fe,La Voz Broadcasting,
KTAO,101.9 FM,Taos,Taos Communications Corp.,Adult Album Alternative
KTBL,1050 AM,Los Ranchos,"Radio License Holding CBC, LLC",Talk
KTDB,89.7 FM,Ramah,Ramah Navajo School Board,Public Radio
KTEG,104.1 FM,Santa Fe,"Citicasters Licenses, Inc.",Modern Rock
KTGW,91.7 FM,Fruitland,Native American Christian Voice,
KTNM,1400 AM,Tucumcari,"Majestic Broadcasting, LLC",
KTQM-FM,99.9 FM,Clovis,Zia Broadcasting Company,Adult Contemporary
KTRA-FM,102.1 FM,Farmington,Capstar TX LLC,Classic Country
KTRC,1260 AM,Santa Fe,"Hutton Broadcasting, LLC",Talk (Progressive)
KTUM,107.1 FM,Tatum,MTD Inc.,Active Rock
KTZA,92.9 FM,Artesia,Pecos Valley Broadcasting,Country
KUHC,90.3 FM,Clayton,Top O' Texas Educational Broadcasting Foundation,
KUNM,89.9 FM,Albuquerque,Regents of the University of New Mexico,Public Radio
KURU,89.1 FM,Silver City,Gila/Membres Community Radio,
KUSW,88.1 FM,Flora Vista,"KUTE, Inc.",
KUUT,89.7 FM,Farmington,"KUTE, Inc.",
KVLC,101.1 FM,Hatch,"Bravo Mic Communications, LLC",Oldies
KVLK,89.5 FM,Socorro,Educational Media Foundation,Christian Contemporary
KVLP,91.7 FM,Tucumcari,Educational Media Foundation,Christian Contemporary
KVMG,88.9 FM,Raton,"Radio Bilingue, Inc.",Mexican and Spanish language music and oldies
KVOT,1340 AM,Taos,DMC Broadcasting,Talk (Progressive)
KVSF,1400 AM,Santa Fe,"Hutton Broadcasting, LLC",Sports
KVSF-FM,101.5 FM,Pecos,"Hutton Broadcasting, LLC",News/Talk
KWES,1450 AM,Ruidoso,"Walton Stations Ð New Mexico, Inc.",
KWES-FM,93.5 FM,Ruidoso,"Walton Stations New Mexico, Inc.",Country
KWFL,99.3 FM,Roswell,Family Life Broadcasting System,Christian Contemporary
KWKA,680 AM,Clovis,Zia Broadcasting Company,
KWMW,105.1 FM,Maljamar,MTD Inc.,Country
KWYK-FM,94.9 FM,Aztec,Basin Broadcasting,Adult Contemporary
KXFR,91.9 FM,Socorro,"Family Stations, Inc.",
KXKS,1190 AM,Albuquerque,Wild West Radio,Christian Talk
KXMT,99.1 FM,Taos,DMC Broadcasting,Regional Mexican
KXNM,88.7 FM,Encino,KXNM Community Foundation,
KXPZ,99.5 FM,Las Cruces,"Bravo Mic Communications, LLC",Country
KXTC,99.9 FM,Thoreau,"Clear Channel Broadcasting Licenses, Inc.",Rhythmic Top 40
KXXI,93.7 FM,Gallup,Millennium Media,Classic Rock
KXXQ,100.7 FM,Milan,IHR Educational Broadcasting,Catholic Radio
KYAT,94.5 FM,Gallup,Millennium Media,Ethnic Navajo
KYBR,92.9 FM,Espanola,"Richard L. Garcia Broadcasting, Inc.",Regional Mexican
KYCM,89.9 FM,Alamogordo,"Your Christian Companion Network, Inc.",Religious
KYEE,94.3 FM,Alamogordo,Burt Broadcasting,Top 40
KYGR,88.1 FM,Alamo,Alamo Navajo School Board,Public Radio
KYKK,95.7 FM,Hobbs,Noalmark Broadcasting,Classic Hits
KYOL,91.7 FM,Chama,"Radio Bilingue, Inc.",Mexican and Spanish language music and oldies
KYRN,102.1 FM,Socorro,"Socorro Community Radio, LLC",
KYVA,1230 AM,Gallup,Millennium Media,Country Variety
KYVA-FM,103.7 FM,Church Rock,Millennium Media,Oldies
KZHM,95.9 FM,Alamogordo,"Hispanic Target Media, Inc.",
KZNM,101.9 FM,Milan,"Cochise Media Licenses, LLC",
KZOR,94.1 FM,Hobbs,Noalmark Broadcasting,Hot AC
KZRM,96.1 FM,Chama,Chama Broadcasting Corporation,Country Music & Northern New Mexico Music
KZRR,94.1 FM,Albuquerque,"Clear Channel Broadcasting Licenses, Inc.",Rock
KZTU-FM,90.5 FM,Tucumcari,Iglesia Shekira,
KZXQ,104.5 FM,Reserve,Cochise Broadcasting LLC,Oldies
KZZX,105.3 FM,Alamogordo,Burt Broadcasting,Country
